100; 10458; 1572
200; 17375; 3176
300; 29000; 4495
400; 39708; 7472
500; 53625; 10916
600; 62792; 10087
700; 75667; 12915
800; 90417; 16654
900; 105541; 19992
1000; 118292; 23339
1100; 131167; 20393
1200; 150125; 23038
1300; 159708; 26215
1400; 186250; 29222
1500; 197750; 32328
1600; 205459; 35728
1700; 220625; 39331
1800; 237958; 43320
1900; 253750; 46682
2000; 277292; 50190
2100; 277958; 42107
2200; 299916; 45102
2300; 313916; 47912
2400; 325291; 51020
2500; 347875; 54466
2600; 380583; 57360
2700; 370916; 60978
2800; 398125; 64456
2900; 418000; 67884
3000; 438084; 69960
3100; 450958; 74968
3200; 466292; 76927
3300; 527791; 81507
3400; 480542; 85477
3500; 488000; 88648
3600; 508708; 94735
3700; 521458; 97168
3800; 545542; 101841
3900; 559791; 105242
4000; 576792; 109904
4100; 627250; 90369
4200; 603625; 93244
4300; 623625; 96114
4400; 634209; 99518
4500; 653459; 103256
4600; 677417; 105070
4700; 765250; 107745
4800; 759625; 111878
4900; 761959; 115976
5000; 765709; 119591
5100; 885625; 121866
5200; 778125; 125115
5300; 801917; 128741
5400; 806458; 133488
5500; 837250; 136120
5600; 838417; 138221
5700; 866625; 143933
5800; 940125; 146437
5900; 945125; 151110
6000; 942375; 152911
6100; 992458; 158062
6200; 1002625; 160102
6300; 1025375; 164930
6400; 1064292; 169272
6500; 1091250; 173197
6600; 1063375; 176202
6700; 1134458; 180817
6800; 1132917; 185555
6900; 1138083; 188127
7000; 1168375; 193983
7100; 1155125; 196023
7200; 1242250; 202823
7300; 1195583; 205123
7400; 1271166; 209698
7500; 1262417; 213540
7600; 1265416; 218473
7700; 1283292; 223114
7800; 1339708; 227041
7900; 1412167; 230819
8000; 1281791; 235445
8100; 1445709; 241574
8200; 1446333; 198040
8300; 1324125; 198962
8400; 1416208; 202724
8500; 1381250; 205904
8600; 1399000; 208022
8700; 1545000; 212199
8800; 1488917; 216994
8900; 1611500; 219143
9000; 1539334; 224334
9100; 1569542; 225181
9200; 1557041; 228259
9300; 1628500; 233247
9400; 1603291; 235564
9500; 1731750; 239474
9600; 1732167; 242128
9700; 1719708; 245756
9800; 1727458; 250024
9900; 1715792; 252142
10000; 1740458; 257684
