100; 24667; 1444
200; 16916; 3228
300; 26167; 4321
400; 35291; 7397
500; 46958; 10700
600; 58750; 10525
700; 68583; 12774
800; 80667; 16289
900; 94000; 19620
1000; 107625; 23720
1100; 126625; 20603
1200; 141750; 23013
1300; 167333; 26187
1400; 173625; 28612
1500; 185292; 32309
1600; 217250; 35856
1700; 218584; 40201
1800; 232083; 43939
1900; 240708; 47221
2000; 258209; 51368
2100; 275500; 42300
2200; 284542; 44708
2300; 303875; 48029
2400; 319500; 51102
2500; 335000; 54837
2600; 366584; 57514
2700; 395000; 60871
2800; 393167; 63786
2900; 411917; 67664
3000; 413959; 69795
3100; 433000; 74839
3200; 441917; 77544
3300; 462959; 81554
3400; 498000; 86942
3500; 526125; 89719
3600; 521042; 93304
3700; 534041; 98060
3800; 547667; 102204
3900; 619750; 105481
4000; 594000; 110158
4100; 611750; 90484
4200; 702000; 92606
4300; 630458; 96441
4400; 653292; 99153
4500; 661250; 102690
4600; 710041; 105213
4700; 729125; 109746
4800; 731834; 111676
4900; 786208; 116163
5000; 772583; 119673
5100; 780083; 121627
5200; 841625; 125168
5300; 850042; 128607
5400; 898791; 132186
5500; 888583; 135121
5600; 897625; 138603
5700; 921125; 141745
5800; 996042; 146611
5900; 944750; 150048
6000; 1011834; 153330
6100; 958667; 158117
6200; 1030000; 161558
6300; 992458; 165327
6400; 1086709; 168388
6500; 1031542; 172614
6600; 1054500; 176559
6700; 1119666; 181934
6800; 1067417; 185483
6900; 1110417; 188842
7000; 1168209; 190975
7100; 1211958; 197322
7200; 1148084; 201729
7300; 1216875; 204735
7400; 1315667; 210257
7500; 1310833; 213803
7600; 1298750; 217906
7700; 1357416; 223988
7800; 1347458; 226485
7900; 1371875; 232219
8000; 1340625; 233712
8100; 1338542; 241153
8200; 1366709; 197653
8300; 1507958; 199707
8400; 1438875; 202107
8500; 1572958; 206722
8600; 1547083; 209428
8700; 1650167; 211549
8800; 1578959; 215271
8900; 1615334; 219049
9000; 1604458; 223402
9100; 1609625; 225092
9200; 1648458; 228615
9300; 1689584; 231890
9400; 1714166; 235124
9500; 1716834; 240217
9600; 1712500; 242912
9700; 1715750; 245089
9800; 1733958; 249932
9900; 1764333; 252562
10000; 1805875; 257875
